frequency,absolute_url_path,fragment,combination_signature,sources
2,/writing/konkani.htm,,"{'language.csv:language': 1, 'langalphMap.json:language': 4}",language.csv:Konkani | langalphMap.json:Konkani_using_Arabic | langalphMap.json:Konkani_using_Devanagari | langalphMap.json:Konkani_using_Kannada | langalphMap.json:Konkani_using_Malayalam
2,/writing/mundari.htm,,"{'language.csv:language': 1, 'langalphMap.json:language': 4}",language.csv:Mundari | langalphMap.json:Mundari_using_Devanagari | langalphMap.json:Mundari_using_Eastern Nagari(Bengali /Eastern Neo-Brahmic) | langalphMap.json:Mundari_using_Latin / Roman | langalphMap.json:Mundari_using_Odia (Oriya)
2,/writing/naskapi.php,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Naskapi | langalphSingle.csv:Naskapi | langalphMap.json:Naskapi_using_Canadian Aboriginal Syllabics | langalphMap.json:Naskapi_using_Latin / Roman
2,/writing/opcuneiform.htm,,"{'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Old Persian Cuneiform | langalphSingle.csv:Old Persian Cuneiform | langalphMap.json:Old Persian Cuneiform_using_Cuneiform scripts
2,/writing/punjabi.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Punjabi | writing.csv:Gurmukhi | langalphMap.json:Punjabi_using_Arabic | langalphMap.json:Punjabi_using_Gurmukhi
2,/writing/santali.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 3}",language.csv:Santali | langalphSingle.csv:Santali | langalphMap.json:Santali_using_Devanagari | langalphMap.json:Santali_using_Eastern Nagari(Bengali /Eastern Neo-Brahmic) | langalphMap.json:Santali_using_Odia (Oriya)
2,/writing/sindhi.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 3}",language.csv:Sindhi | langalphSingle.csv:Sindhi | langalphMap.json:Sindhi_using_Arabic | langalphMap.json:Sindhi_using_Devanagari | langalphMap.json:Sindhi_using_Gurmukhi
2,/writing/xibe.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Xibe | writing.csv:Xibe | langalphMap.json:Xibe_using_Cyrillic | langalphMap.json:Xibe_using_Manchu
4,/chinese/index.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Chinese | langalphMap.json:Chinese_for_5_languages | langalphMap.json:Chinese (hanzi)_using_Chinese
4,/writing/fraser.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Fraser | langalphMap.json:Fraser_for_2_languages | langalphMap.json:Lisu_using_Pollard
4,/writing/runic.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Runic | langalphMap.json:Runic_for_1_languages | langalphMap.json:Germanic languages & Latin_using_Runic
4,/writing/tifinagh.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Tifinagh | langalphMap.json:Tifinagh_for_7_languages | langalphMap.json:Tamazight_using_Tifinagh
5,/writing/arabic.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Arabic (Modern Standard) | writing.csv:Arabic | langalphMap.json:Arabic_for_107_languages | langalphMap.json:Arabic (Modern Standard)_using_Arabic | langalphMap.json:Arabic_using_Greek
5,/writing/ganda.php,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Ganda | language.csv:Luganda | langalphMap.json:Ganda_using_Latin / Roman
5,/writing/greek.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Greek | writing.csv:Greek | langalphMap.json:Greek_for_17_languages | langalphMap.json:Greek_using_Greek | langalphMap.json:Greek alphabet_using_Greek
5,/writing/hebrew.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 2, 'langalphMap.json:writing_system': 1}",language.csv:Hebrew | writing.csv:Hebrew | langalphMap.json:Hebrew_using_Greek | langalphMap.json:Hebrew_for_13_languages | langalphMap.json:Hebrew_using_Hebrew
5,/writing/japanese.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 2, 'langalphMap.json:writing_system': 1}",language.csv:Japanese | writing.csv:Japanese | langalphMap.json:Japanese (kanji)_using_Chinese | langalphMap.json:Japanese scripts_for_12_languages | langalphMap.json:Japanese_using_Japanese scripts
5,/writing/javanese.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Javanese | writing.csv:Javanese | langalphMap.json:Javanese_for_2_languages | langalphMap.json:Javanese_using_Javanese | langalphMap.json:Javanese_using_Latin / Roman
5,/writing/kadazandusun.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Dusun | language.csv:Kadazandusun | langalphMap.json:Kadazandusun_using_Latin / Roman
5,/writing/khoekhoe.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Khoekhoe | language.csv:Nama | langalphMap.json:Khoekohoe_using_Latin / Roman
5,/writing/loma.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Loma | langalphSingle.csv:Loma
5,/writing/ndebele.php,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Ndebele (Southern) | language.csv:Southern Ndebele | langalphMap.json:Ndebele (Southern)_using_Latin / Roman
5,/writing/qeqchi.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Kekchi | language.csv:Qʼeqchiʼ | langalphMap.json:Qʼeqchiʼ_using_Latin / Roman
5,/writing/redjang.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Rejang | langalphSingle.csv:Redjang
5,/writing/sundanese.php,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Sundanese | langalphSingle.csv:Sundanese
5,/writing/tailue.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Tai Lue | langalphSingle.csv:New Tai Lue
5,/writing/tainua.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Tai Nuea | langalphSingle.csv:Dehong Dai
7,/writing/bamum.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Bamum | langalphSingle.csv:Bamum | langalphMap.json:Bamum_using_Latin / Roman
7,/writing/bantawa.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Bantawa | langalphSingle.csv:Kirat Rai | langalphMap.json:Bantawa_using_Devanagari
7,/writing/gondi.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Gondi | langalphSingle.csv:Gondi | langalphMap.json:Gondi_using_Devanagari
7,/writing/manipuri.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Manipuri | langalphSingle.csv:Manipuri | langalphMap.json:Manipuri_using_Eastern Nagari(Bengali /Eastern Neo-Brahmic)
7,/writing/tulu.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Tulu | langalphSingle.csv:Tigalari | langalphMap.json:Tulu_using_Kannada
7,/writing/vai.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Vai | langalphSingle.csv:Vai | langalphMap.json:Vai_using_Latin / Roman
7,/writing/zaghawa.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Zaghawa | langalphSingle.csv:Zaghawa | langalphMap.json:Zaghawa_using_Latin / Roman
8,/chinese/xiaoerjing.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Xiao'erjing | langalphMap.json:Xiao'erjing_using_Arabic
8,/writing/aljamiado.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Morisco (Aljamiado) | langalphMap.json:Morisco_using_Arabic
8,/writing/armenoturkish.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Armeno-Turkish | langalphMap.json:Armeno-Turkish_using_Armenian
8,/writing/bactrian.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Bactrian | langalphMap.json:Bactrian_using_Greek
8,/writing/chorasmian.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Chorasmian | langalphMap.json:Khwarezmian_using_Arabic
8,/writing/dhankari.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Dhankari | langalphMap.json:Simauri_using_Takri
8,/writing/jaunsaritakri.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Jaunsari Takri | langalphMap.json:Jaunsari_using_Takri
8,/writing/thaisanskrit.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Thai alphabet for Sanskrit | langalphMap.json:Sanskrit_using_Thai
