Id	Scope	Ref_Name
agf	I	Arguni
agg	I	Angor
agh	I	Ngelima
agi	I	Agariya
agj	I	Argobba
agk	I	Isarog Agta
agl	I	Fembe
agm	I	Angaataha
agn	I	Agutaynen
ago	I	Tainae
agq	I	Aghem
agr	I	Aguaruna
ags	I	Esimbi
agt	I	Central Cagayan Agta
agu	I	Aguacateco
agv	I	Remontado Dumagat
agw	I	Kahua
agx	I	Aghul
agy	I	Southern Alta
agz	I	Mt. Iriga Agta
aha	I	Ahanta
ahb	I	Axamb
ahg	I	Qimant
ahh	I	Aghu
ahi	I	Tiagbamrin Aizi
ahk	I	Akha
ahl	I	Igo
ahm	I	Mobumrin Aizi
ahn	I	Àhàn
aho	I	Ahom
ahp	I	Aproumu Aizi
ahr	I	Ahirani
ahs	I	Ashe
aht	I	Ahtena
aia	I	Arosi
aib	I	Ainu (China)
aic	I	Ainbai
aid	I	Alngith
aie	I	Amara
aif	I	Agi
aig	I	Antigua and Barbuda Creole English
aih	I	Ai-Cham
aii	I	Assyrian Neo-Aramaic
aij	I	Lishanid Noshan
aik	I	Ake
ail	I	Aimele
aim	I	Aimol
ain	I	Ainu (Japan)
aio	I	Aiton
aip	I	Burumakok
aiq	I	Aimaq
air	I	Airoran
ait	I	Arikem
aiw	I	Aari
aix	I	Aighon
aiy	I	Ali
aja	I	Aja (South Sudan)
ajg	I	Aja (Benin)
aji	I	Ajië
ajn	I	Andajin
ajs	I	Algerian Jewish Sign Language
aju	I	Judeo-Moroccan Arabic
ajw	I	Ajawa
ajz	I	Amri Karbi
aka	M	Akan
akb	I	Batak Angkola
akc	I	Mpur
akd	I	Ukpet-Ehom
ake	I	Akawaio
akf	I	Akpa
akg	I	Anakalangu
akh	I	Angal Heneng
aki	I	Aiome
akj	I	Aka-Jeru
akk	I	Akkadian
akl	I	Aklanon
akm	I	Aka-Bo
ako	I	Akurio
akp	I	Siwu
akq	I	Ak
akr	I	Araki
aks	I	Akaselem
akt	I	Akolet
aku	I	Akum
akv	I	Akhvakh
akw	I	Akwa
akx	I	Aka-Kede
aky	I	Aka-Kol
akz	I	Alabama
ala	I	Alago
alc	I	Qawasqar
ald	I	Alladian
ale	I	Aleut
alf	I	Alege
alh	I	Alawa
ali	I	Amaimon
alj	I	Alangan
alk	I	Alak
all	I	Allar
alm	I	Amblong
aln	I	Gheg Albanian
alo	I	Larike-Wakasihu
alp	I	Alune
alq	I	Algonquin
alr	I	Alutor
als	I	Tosk Albanian
alt	I	Southern Altai
alu	I	'Are'are
alw	I	Alaba-K’abeena
alx	I	Amol
aly	I	Alyawarr
alz	I	Alur
ama	I	Amanayé
amb	I	Ambo
amc	I	Amahuaca
ame	I	Yanesha'
amf	I	Hamer-Banna
amg	I	Amurdak
amh	I	Amharic
ami	I	Amis
amj	I	Amdang
amk	I	Ambai
aml	I	War-Jaintia
amm	I	Ama (Papua New Guinea)
amn	I	Amanab
amo	I	Amo
amp	I	Alamblak
amq	I	Amahai
amr	I	Amarakaeri
ams	I	Southern Amami-Oshima
amt	I	Amto
amu	I	Guerrero Amuzgo
amv	I	Ambelau
amw	I	Western Neo-Aramaic
amx	I	Anmatyerre
amy	I	Ami
amz	I	Atampaya
ana	I	Andaqui
anb	I	Andoa
anc	I	Ngas
and	I	Ansus
ane	I	Xârâcùù
anf	I	Animere
ang	I	Old English (ca. 450-1100)
anh	I	Nend
ani	I	Andi
anj	I	Anor
ank	I	Goemai
anl	I	Anu-Hkongso Chin
anm	I	Anal
ann	I	Obolo
ano	I	Andoque
anp	I	Angika
anq	I	Jarawa (India)
anr	I	Andh
ans	I	Anserma
ant	I	Antakarinya
anu	I	Anuak
anv	I	Denya
anw	I	Anaang
anx	I	Andra-Hus
any	I	Anyin
anz	I	Anem
aoa	I	Angolar
aob	I	Abom
aoc	I	Pemon
aod	I	Andarum
aoe	I	Angal Enen
aof	I	Bragat
aog	I	Angoram
aoi	I	Anindilyakwa
aoj	I	Mufian
aok	I	Arhö
aol	I	Alor
aom	I	Ömie
aon	I	Bumbita Arapesh
aor	I	Aore
aos	I	Taikat
aot	I	Atong (India)
aou	I	A'ou
aox	I	Atorada
aoz	I	Uab Meto
apb	I	Sa'a
apc	I	Levantine Arabic
apd	I	Sudanese Arabic
ape	I	Bukiyip
apf	I	Pahanan Agta
apg	I	Ampanang
aph	I	Athpariya
api	I	Apiaká
apj	I	Jicarilla Apache
apk	I	Kiowa Apache
apl	I	Lipan Apache
apm	I	Mescalero-Chiricahua Apache
apn	I	Apinayé
apo	I	Ambul
app	I	Apma
apq	I	A-Pucikwar
apr	I	Arop-Lokep
aps	I	Arop-Sissano
apt	I	Apatani
apu	I	Apurinã
apv	I	Alapmunte
apw	I	Western Apache
apx	I	Aputai
apy	I	Apalaí
apz	I	Safeyoka
aqc	I	Archi
aqd	I	Ampari Dogon
aqg	I	Arigidi
aqk	I	Aninka
aqm	I	Atohwaim
aqn	I	Northern Alta
aqp	I	Atakapa
aqr	I	Arhâ
aqt	I	Angaité
aqz	I	Akuntsu
ara	M	Arabic
arb	I	Standard Arabic
arc	I	Official Aramaic (700-300 BCE)
ard	I	Arabana
are	I	Western Arrarnta
arg	I	Aragonese
arh	I	Arhuaco
ari	I	Arikara
arj	I	Arapaso
ark	I	Arikapú
arl	I	Arabela
arn	I	Mapudungun
aro	I	Araona
arp	I	Arapaho
arq	I	Algerian Arabic
arr	I	Karo (Brazil)
ars	I	Najdi Arabic
aru	I	Aruá (Amazonas State)
arv	I	Arbore
arw	I	Arawak
arx	I	Aruá (Rodonia State)
ary	I	Moroccan Arabic
arz	I	Egyptian Arabic
asa	I	Asu (Tanzania)
asb	I	Assiniboine
asc	I	Casuarina Coast Asmat
ase	I	American Sign Language
asf	I	Auslan
asg	I	Cishingini
ash	I	Abishira
asi	I	Buruwai
asj	I	Sari
ask	I	Ashkun
asl	I	Asilulu
asm	I	Assamese
asn	I	Xingú Asuriní
aso	I	Dano
asp	I	Algerian Sign Language
asq	I	Austrian Sign Language
asr	I	Asuri
ass	I	Ipulo
ast	I	Asturian
asu	I	Tocantins Asurini
asv	I	Asoa
asw	I	Australian Aborigines Sign Language
asx	I	Muratayak
asy	I	Yaosakor Asmat
asz	I	As
ata	I	Pele-Ata
atb	I	Zaiwa
atc	I	Atsahuaca
atd	I	Ata Manobo
ate	I	Atemble
atg	I	Ivbie North-Okpela-Arhe
ati	I	Attié
atj	I	Atikamekw
atk	I	Ati
atl	I	Mt. Iraya Agta
atm	I	Ata
atn	I	Ashtiani
ato	I	Atong (Cameroon)
atp	I	Pudtol Atta
atq	I	Aralle-Tabulahan
atr	I	Waimiri-Atroari
ats	I	Gros Ventre
att	I	Pamplona Atta
atu	I	Reel
atv	I	Northern Altai
atw	I	Atsugewi
atx	I	Arutani
aty	I	Aneityum
atz	I	Arta
aua	I	Asumboa
aub	I	Alugu
auc	I	Waorani
aud	I	Anuta
aug	I	Aguna
auh	I	Aushi
aui	I	Anuki
auj	I	Awjilah
auk	I	Heyo
aul	I	Aulua
aum	I	Asu (Nigeria)
aun	I	Molmo One
auo	I	Auyokawa
aup	I	Makayam
auq	I	Anus
aur	I	Aruek
aut	I	Austral
auu	I	Auye
auw	I	Awyi
aux	I	Aurá
auy	I	Awiyaana
auz	I	Uzbeki Arabic
ava	I	Avaric
avb	I	Avau
avd	I	Alviri-Vidari
ave	I	Avestan
avi	I	Avikam
avk	I	Kotava
avl	I	Eastern Egyptian Bedawi Arabic
avm	I	Angkamuthi
avn	I	Avatime
avo	I	Agavotaguerra
avs	I	Aushiri
avt	I	Au
avu	I	Avokaya
avv	I	Avá-Canoeiro
awa	I	Awadhi
awb	I	Awa (Papua New Guinea)
awc	I	Cicipu
awe	I	Awetí
awg	I	Anguthimri
awh	I	Awbono
awi	I	Aekyom
awk	I	Awabakal
awm	I	Arawum
awn	I	Awngi
awo	I	Awak
awr	I	Awera
aws	I	South Awyu
awt	I	Araweté
awu	I	Central Awyu
awv	I	Jair Awyu
aww	I	Awun
awx	I	Awara
awy	I	Edera Awyu
axb	I	Abipon
axe	I	Ayerrerenge
axg	I	Mato Grosso Arára
axk	I	Yaka (Central African Republic)
axl	I	Lower Southern Aranda
axm	I	Middle Armenian
axx	I	Xârâgurè
aya	I	Awar
ayb	I	Ayizo Gbe
ayc	I	Southern Aymara
ayd	I	Ayabadhu
aye	I	Ayere
ayg	I	Ginyanga
ayh	I	Hadrami Arabic
ayi	I	Leyigha
ayk	I	Akuku
ayl	I	Libyan Arabic
aym	M	Aymara
ayn	I	Sanaani Arabic
ayo	I	Ayoreo
ayp	I	North Mesopotamian Arabic
ayq	I	Ayi (Papua New Guinea)
ayr	I	Central Aymara
ays	I	Sorsogon Ayta
ayt	I	Magbukun Ayta
ayu	I	Ayu
ayz	I	Mai Brat
aza	I	Azha
azb	I	South Azerbaijani
azd	I	Eastern Durango Nahuatl
aze	M	Azerbaijani
azg	I	San Pedro Amuzgos Amuzgo
azj	I	North Azerbaijani
azm	I	Ipalapa Amuzgo
azn	I	Western Durango Nahuatl
azo	I	Awing
azt	I	Faire Atta
azz	I	Highland Puebla Nahuatl
baa	I	Babatana
bab	I	Bainouk-Gunyuño
bac	I	Badui
bae	I	Baré
baf	I	Nubaca
bag	I	Tuki
bah	I	Bahamas Creole English
baj	I	Barakai
bak	I	Bashkir
bal	M	Baluchi
bam	I	Bambara
ban	I	Balinese
bao	I	Waimaha
bap	I	Bantawa
bar	I	Bavarian
bas	I	Basa (Cameroon)
bau	I	Bada (Nigeria)
bav	I	Vengo
baw	I	Bambili-Bambui
bax	I	Bamun
bay	I	Batuley
bba	I	Baatonum
bbb	I	Barai
bbc	I	Batak Toba
bbd	I	Bau
bbe	I	Bangba
bbf	I	Baibai
bbg	I	Barama
bbh	I	Bugan
bbi	I	Barombi
bbj	I	Ghomálá'
bbk	I	Babanki
bbl	I	Bats
bbm	I	Babango
bbn	I	Uneapa
bbo	I	Northern Bobo Madaré
bbp	I	West Central Banda
bbq	I	Bamali
bbr	I	Girawa
bbs	I	Bakpinka
bbt	I	Mburku
bbu	I	Kulung (Nigeria)
bbv	I	Karnai
bbw	I	Baba
bbx	I	Bubia
bby	I	Befang
bca	I	Central Bai
bcb	I	Bainouk-Samik
bcc	I	Southern Balochi
bcd	I	North Babar
bce	I	Bamenyam
bcf	I	Bamu
bcg	I	Baga Pokur
bch	I	Bariai
bci	I	Baoulé
bcj	I	Bardi
bck	I	Bunuba
bcl	I	Central Bikol
bcm	I	Bannoni
bcn	I	Bali (Nigeria)
bco	I	Kaluli
bcp	I	Bali (Democratic Republic of Congo)
bcq	I	Bench
bcr	I	Babine
bcs	I	Kohumono
bct	I	Bendi
bcu	I	Awad Bing
bcv	I	Shoo-Minda-Nye
bcw	I	Bana
bcy	I	Bacama
bcz	I	Bainouk-Gunyaamolo
bda	I	Bayot
bdb	I	Basap
bdc	I	Emberá-Baudó
bdd	I	Bunama
bde	I	Bade
bdf	I	Biage
bdg	I	Bonggi
bdh	I	Baka (South Sudan)
bdi	I	Burun
bdj	I	Bai (South Sudan)
bdk	I	Budukh
bdl	I	Indonesian Bajau
bdm	I	Buduma
bdn	I	Baldemu
bdo	I	Morom
bdp	I	Bende
bdq	I	Bahnar
bdr	I	West Coast Bajau
bds	I	Burunge
bdt	I	Bokoto
bdu	I	Oroko
bdv	I	Bodo Parja
bdw	I	Baham
bdx	I	Budong-Budong
bdy	I	Bandjalang
bdz	I	Badeshi
bea	I	Beaver
beb	I	Bebele
bec	I	Iceve-Maci
bed	I	Bedoanas
bee	I	Byangsi
bef	I	Benabena
beg	I	Belait
beh	I	Biali
bei	I	Bekati'
bej	I	Beja
bek	I	Bebeli
bel	I	Belarusian
bem	I	Bemba (Zambia)
ben	I	Bengali
beo	I	Beami
bep	I	Besoa
beq	I	Beembe
bes	I	Besme
bet	I	Guiberoua Béte
beu	I	Blagar
bev	I	Daloa Bété
bew	I	Betawi
bex	I	Jur Modo
bey	I	Beli (Papua New Guinea)
bez	I	Bena (Tanzania)
bfa	I	Bari
bfb	I	Pauri Bareli
bfc	I	Panyi Bai
bfd	I	Bafut
bfe	I	Betaf
bff	I	Bofi
bfg	I	Busang Kayan
bfh	I	Blafe
bfi	I	British Sign Language
bfj	I	Bafanji
bfk	I	Ban Khor Sign Language
bfl	I	Banda-Ndélé
bfm	I	Mmen
bfn	I	Bunak
bfo	I	Malba Birifor
bfp	I	Beba
bfq	I	Badaga
bfr	I	Bazigar
bfs	I	Southern Bai
bft	I	Balti
bfu	I	Gahri
bfw	I	Bondo
bfx	I	Bantayanon
bfy	I	Bagheli
bfz	I	Mahasu Pahari
bga	I	Gwamhi-Wuri
bgb	I	Bobongko
bgc	I	Haryanvi
bgd	I	Rathwi Bareli
bge	I	Bauria
bgf	I	Bangandu
bgg	I	Bugun
bgi	I	Giangan
bgj	I	Bangolan
bgk	I	Bit
bgl	I	Bo (Laos)
bgn	I	Western Balochi
bgo	I	Baga Koga
bgp	I	Eastern Balochi
bgq	I	Bagri
bgr	I	Bawm Chin
bgs	I	Tagabawa
bgt	I	Bughotu
bgu	I	Mbongno
bgv	I	Warkay-Bipim
bgw	I	Bhatri
bgx	I	Balkan Gagauz Turkish
bgy	I	Benggoi
bgz	I	Banggai
bha	I	Bharia
bhb	I	Bhili
bhc	I	Biga
bhd	I	Bhadrawahi
bhe	I	Bhaya
bhf	I	Odiai
bhg	I	Binandere
bhh	I	Bukharic
bhi	I	Bhilali
bhj	I	Bahing
bhl	I	Bimin
bhm	I	Bathari
bhn	I	Bohtan Neo-Aramaic
bho	I	Bhojpuri
bhp	I	Bima
bhq	I	Tukang Besi South
bhr	I	Bara Malagasy
bhs	I	Buwal
bht	I	Bhattiyali
bhu	I	Bhunjia
bhv	I	Bahau
bhw	I	Biak
bhx	I	Bhalay
bhy	I	Bhele
bhz	I	Bada (Indonesia)
bia	I	Badimaya
bib	I	Bissa
bid	I	Bidiyo
bie	I	Bepour
bif	I	Biafada
big	I	Biangai
bik	M	Bikol
bil	I	Bile
bim	I	Bimoba
bin	I	Bini
bio	I	Nai
bip	I	Bila
biq	I	Bipi
bir	I	Bisorio
bis	I	Bislama
bit	I	Berinomo
biu	I	Biete
biv	I	Southern Birifor
biw	I	Kol (Cameroon)
bix	I	Bijori
biy	I	Birhor
biz	I	Baloi
bja	I	Budza
bjb	I	Banggarla
bjc	I	Bariji
bje	I	Biao-Jiao Mien
bjf	I	Barzani Jewish Neo-Aramaic
bjg	I	Bidyogo
bjh	I	Bahinemo
bji	I	Burji
bjj	I	Kanauji
bjk	I	Barok
bjl	I	Bulu (Papua New Guinea)
bjm	I	Bajelani
bjn	I	Banjar
bjo	I	Mid-Southern Banda
bjp	I	Fanamaket
bjr	I	Binumarien
bjs	I	Bajan
bjt	I	Balanta-Ganja
bju	I	Busuu
bjv	I	Bedjond
bjw	I	Bakwé
bjx	I	Banao Itneg
bjy	I	Bayali
bjz	I	Baruga
bka	I	Kyak
bkc	I	Baka (Cameroon)
bkd	I	Binukid
bkf	I	Beeke
bkg	I	Buraka
bkh	I	Bakoko
bki	I	Baki
bkj	I	Pande
bkk	I	Brokskat
bkl	I	Berik
bkm	I	Kom (Cameroon)
bkn	I	Bukitan
bko	I	Kwa'
bkp	I	Boko (Democratic Republic of Congo)
bkq	I	Bakairí
bkr	I	Bakumpai
bks	I	Northern Sorsoganon
bkt	I	Boloki
bku	I	Buhid
bkv	I	Bekwarra
bkw	I	Bekwel
bkx	I	Baikeno
bky	I	Bokyi
bkz	I	Bungku
bla	I	Siksika
blb	I	Bilua
blc	I	Bella Coola
bld	I	Bolango
ble	I	Balanta-Kentohe
blf	I	Buol
blh	I	Kuwaa
bli	I	Bolia
blj	I	Bolongan
blk	I	Pa'o Karen
bll	I	Biloxi
blm	I	Beli (South Sudan)
bln	I	Southern Catanduanes Bikol
blo	I	Anii
blp	I	Blablanga
blq	I	Baluan-Pam
blr	I	Blang
bls	I	Balaesang
blt	I	Tai Dam
blv	I	Kibala
blw	I	Balangao
blx	I	Mag-Indi Ayta
bly	I	Notre
blz	I	Balantak
bma	I	Lame
bmb	I	Bembe
bmc	I	Biem
bmd	I	Baga Manduri
bme	I	Limassa
bmf	I	Bom-Kim
bmg	I	Bamwe
bmh	I	Kein
bmi	I	Bagirmi
bmj	I	Bote-Majhi
bmk	I	Ghayavi
bml	I	Bomboli
bmm	I	Northern Betsimisaraka Malagasy
bmn	I	Bina (Papua New Guinea)
bmo	I	Bambalang
bmp	I	Bulgebi
bmq	I	Bomu
bmr	I	Muinane
bms	I	Bilma Kanuri
bmt	I	Biao Mon
bmu	I	Somba-Siawari
bmv	I	Bum
bmw	I	Bomwali
bmx	I	Baimak
bmz	I	Baramu
bna	I	Bonerate
bnb	I	Bookan
bnc	M	Bontok
bnd	I	Banda (Indonesia)
bne	I	Bintauna
bnf	I	Masiwang
bng	I	Benga
bni	I	Bangi
bnj	I	Eastern Tawbuid
bnk	I	Bierebo
bnl	I	Boon
bnm	I	Batanga
bnn	I	Bunun
bno	I	Bantoanon
bnp	I	Bola
bnq	I	Bantik
bnr	I	Butmas-Tur
bns	I	Bundeli
bnu	I	Bentong
bnv	I	Bonerif
bnw	I	Bisis
bnx	I	Bangubangu
bny	I	Bintulu
bnz	I	Beezen
boa	I	Bora
bob	I	Aweer
bod	I	Tibetan
boe	I	Mundabli
bof	I	Bolon
bog	I	Bamako Sign Language
boh	I	Boma
boi	I	Barbareño
boj	I	Anjam
bok	I	Bonjo
bol	I	Bole
bom	I	Berom
bon	I	Bine
boo	I	Tiemacèwè Bozo
bop	I	Bonkiman
boq	I	Bogaya
bor	I	Borôro
bos	I	Bosnian
bot	I	Bongo
bou	I	Bondei
bov	I	Tuwuli
bow	I	Rema
box	I	Buamu
boy	I	Bodo (Central African Republic)
boz	I	Tiéyaxo Bozo
bpa	I	Daakaka
bpc	I	Mbuk
bpd	I	Banda-Banda
bpe	I	Bauni
bpg	I	Bonggo
bph	I	Botlikh
bpi	I	Bagupi
bpj	I	Binji
bpk	I	Orowe
bpl	I	Broome Pearling Lugger Pidgin
bpm	I	Biyom
bpn	I	Dzao Min
bpo	I	Anasi
bpp	I	Kaure
bpq	I	Banda Malay
bpr	I	Koronadal Blaan
bps	I	Sarangani Blaan
bpt	I	Barrow Point
bpu	I	Bongu
bpv	I	Bian Marind
bpw	I	Bo (Papua New Guinea)
bpx	I	Palya Bareli
bpy	I	Bishnupriya
bpz	I	Bilba
bqa	I	Tchumbuli
bqb	I	Bagusa
bqc	I	Boko (Benin)
bqd	I	Bung
bqf	I	Baga Kaloum
bqg	I	Bago-Kusuntu
bqh	I	Baima
bqi	I	Bakhtiari
bqj	I	Bandial
bqk	I	Banda-Mbrès
bql	I	Karian
bqm	I	Wumboko
bqn	I	Bulgarian Sign Language
bqo	I	Balo
bqp	I	Busa
bqq	I	Biritai
bqr	I	Burusu
bqs	I	Bosngun
bqt	I	Bamukumbit
bqu	I	Boguru
bqv	I	Koro Wachi
bqw	I	Buru (Nigeria)
bqx	I	Baangi
bqy	I	Bengkala Sign Language
bqz	I	Bakaka
bra	I	Braj
brb	I	Brao
brc	I	Berbice Creole Dutch
brd	I	Baraamu
bre	I	Breton
brf	I	Bira
brg	I	Baure
brh	I	Brahui
bri	I	Mokpwe
brj	I	Bieria
brk	I	Birked
brl	I	Birwa
brm	I	Barambu
brn	I	Boruca
bro	I	Brokkat
brp	I	Barapasi
brq	I	Breri
brr	I	Birao
brs	I	Baras
brt	I	Bitare
bru	I	Eastern Bru
brv	I	Western Bru
brw	I	Bellari
brx	I	Bodo (India)
bry	I	Burui
brz	I	Bilbil
bsa	I	Abinomn
bsb	I	Brunei Bisaya
bsc	I	Bassari
bse	I	Wushi
bsf	I	Bauchi
bsg	I	Bashkardi
bsh	I	Kati
bsi	I	Bassossi
bsj	I	Bangwinji
bsk	I	Burushaski
bsl	I	Basa-Gumna
bsm	I	Busami
bsn	I	Barasana-Eduria
bso	I	Buso
bsp	I	Baga Sitemu
bsq	I	Bassa
bsr	I	Bassa-Kontagora
bss	I	Akoose
bst	I	Basketo
bsu	I	Bahonsuai
bsv	I	Baga Sobané
bsw	I	Baiso
bsx	I	Yangkam
bsy	I	Sabah Bisaya
bta	I	Bata
btc	I	Bati (Cameroon)
btd	I	Batak Dairi
bte	I	Gamo-Ningi
btf	I	Birgit
btg	I	Gagnoa Bété
bth	I	Biatah Bidayuh
bti	I	Burate
btj	I	Bacanese Malay
btm	I	Batak Mandailing
btn	I	Ratagnon
bto	I	Rinconada Bikol
btp	I	Budibud
btq	I	Batek
btr	I	Baetora
bts	I	Batak Simalungun
btt	I	Bete-Bendi
btu	I	Batu
btv	I	Bateri
btw	I	Butuanon
btx	I	Batak Karo
bty	I	Bobot
btz	I	Batak Alas-Kluet
bua	M	Buriat
bub	I	Bua
buc	I	Bushi
bud	I	Ntcham
bue	I	Beothuk
buf	I	Bushoong
bug	I	Buginese
buh	I	Younuo Bunu
bui	I	Bongili
buj	I	Basa-Gurmana
buk	I	Bugawac
bul	I	Bulgarian
bum	I	Bulu (Cameroon)
bun	I	Sherbro
buo	I	Terei
bup	I	Busoa
buq	I	Brem
bus	I	Bokobaru
but	I	Bungain
buu	I	Budu
buv	I	Bun
buw	I	Bubi
bux	I	Boghom
buy	I	Bullom So
buz	I	Bukwen
bva	I	Barein
bvb	I	Bube
bvc	I	Baelelea
bvd	I	Baeggu
bve	I	Berau Malay
bvf	I	Boor
bvg	I	Bonkeng
bvh	I	Bure
bvi	I	Belanda Viri
bvj	I	Baan
bvk	I	Bukat
bvl	I	Bolivian Sign Language
bvm	I	Bamunka
bvn	I	Buna
bvo	I	Bolgo
bvp	I	Bumang
bvq	I	Birri
bvr	I	Burarra
bvt	I	Bati (Indonesia)
bvu	I	Bukit Malay
bvv	I	Baniva
bvw	I	Boga
bvx	I	Dibole
bvy	I	Baybayanon
bvz	I	Bauzi
bwa	I	Bwatoo
bwb	I	Namosi-Naitasiri-Serua
bwc	I	Bwile
bwd	I	Bwaidoka
bwe	I	Bwe Karen
bwf	I	Boselewa
bwg	I	Barwe
bwh	I	Bishuo
bwi	I	Baniwa
bwj	I	Láá Láá Bwamu
bwk	I	Bauwaki
bwl	I	Bwela
bwm	I	Biwat
bwn	I	Wunai Bunu
bwo	I	Boro (Ethiopia)
bwp	I	Mandobo Bawah
bwq	I	Southern Bobo Madaré
bwr	I	Bura-Pabir
bws	I	Bomboma
bwt	I	Bafaw-Balong
bwu	I	Buli (Ghana)
bww	I	Bwa
bwx	I	Bu-Nao Bunu
bwy	I	Cwi Bwamu
bwz	I	Bwisi
bxa	I	Tairaha
bxb	I	Belanda Bor
bxc	I	Molengue
bxd	I	Pela
bxe	I	Birale
bxf	I	Bilur
bxg	I	Bangala
bxh	I	Buhutu
bxi	I	Pirlatapa
bxj	I	Bayungu
bxk	I	Bukusu
bxl	I	Jalkunan
bxm	I	Mongolia Buriat
bxn	I	Burduna
bxo	I	Barikanchi
bxp	I	Bebil
bxq	I	Beele
bxr	I	Russia Buriat
bxs	I	Busam
bxu	I	China Buriat
bxv	I	Berakou
bxw	I	Bankagooma
bxz	I	Binahari
bya	I	Batak
byb	I	Bikya
byc	I	Ubaghara
byd	I	Benyadu'
bye	I	Pouye
byf	I	Bete
byg	I	Baygo
byh	I	Bhujel
byi	I	Buyu
byj	I	Bina (Nigeria)
byk	I	Biao
byl	I	Bayono
bym	I	Bidjara
byn	I	Bilin
byo	I	Biyo
byp	I	Bumaji
byq	I	Basay
byr	I	Baruya
bys	I	Burak
byt	I	Berti
byv	I	Medumba
byw	I	Belhariya
byx	I	Qaqet
byz	I	Banaro
bza	I	Bandi
bzb	I	Andio
bzc	I	Southern Betsimisaraka Malagasy
bzd	I	Bribri
bze	I	Jenaama Bozo
bzf	I	Boikin
bzg	I	Babuza
bzh	I	Mapos Buang
bzi	I	Bisu
bzj	I	Belize Kriol English
bzk	I	Nicaragua Creole English
bzl	I	Boano (Sulawesi)
bzm	I	Bolondo
bzn	I	Boano (Maluku)
bzo	I	Bozaba
bzp	I	Kemberano
bzq	I	Buli (Indonesia)
bzr	I	Biri
bzs	I	Brazilian Sign Language
bzt	I	Brithenig
bzu	I	Burmeso
bzv	I	Naami
bzw	I	Basa (Nigeria)
bzx	I	Kɛlɛngaxo Bozo
bzy	I	Obanliku
bzz	I	Evant
caa	I	Chortí
cab	I	Garifuna
cac	I	Chuj
cad	I	Caddo
cae	I	Lehar
caf	I	Southern Carrier
cag	I	Nivaclé
cah	I	Cahuarano
caj	I	Chané
cak	I	Kaqchikel
cal	I	Carolinian
cam	I	Cemuhî
can	I	Chambri
cao	I	Chácobo
cap	I	Chipaya
caq	I	Car Nicobarese
car	I	Galibi Carib
cas	I	Tsimané
