frequency,absolute_url_path,fragment,combination_signature,sources
1,/writing/tangut.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1}",language.csv:Hsihsia | language.csv:Tangut (Xi-Xia) | writing.csv:Tangut (Hsihsia) | writing.csv:Xixia (Tangut) | langalphSingle.csv:Tangut
1,/writing/tibetan.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 3, 'langalphMap.json:writing_system': 1}",language.csv:Tibetan | writing.csv:Tibetan | langalphMap.json:Tibetan_using_Phags-pa | langalphMap.json:Tibetan_using_Soyombo | langalphMap.json:Tibetan_for_15_languages | langalphMap.json:Tibetan_using_Tibetan
1,/writing/xibe.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Xibe | writing.csv:Xibe | langalphMap.json:Xibe_using_Manchu | langalphMap.json:Xibe_using_Cyrillic
1,/writing/zhuang.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 2, 'langalphMap.json:language': 1}",language.csv:Zhuang | writing.csv:Sawndip (Old Zhuang) | writing.csv:Zhuang (話僮 / Sawndip) | langalphMap.json:Zhuang_using_Latin / Roman
2,/chinese/index.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Chinese | langalphMap.json:Chinese_for_5_languages | langalphMap.json:Chinese (hanzi)_using_Chinese
2,/writing/aramaic.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Aramaic | writing.csv:Aramaic | langalphSingle.csv:Aramaic | langalphMap.json:Aramaic_using_Hebrew | langalphMap.json:Aramaic_using_Syriac
2,/writing/armenian.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Armenian (Eastern) | language.csv:Armenian (Western) | writing.csv:Armenian | langalphMap.json:Armenian_for_2_languages | langalphMap.json:Armenian (Eastern and Western)_using_Armenian
2,/writing/blackfoot.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Blackfoot | writing.csv:Blackfoot | langalphSingle.csv:Blackfoot | langalphMap.json:Blackfoot_using_Canadian Aboriginal Syllabics | langalphMap.json:Blackfoot_using_Latin / Roman
2,/writing/chunom.htm,,"{'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Chữ-nôm | langalphSingle.csv:Chữ-nôm | langalphMap.json:Vietnamese (chữ-nôm)_using_Chinese
2,/writing/japanese.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 2, 'langalphMap.json:writing_system': 1}",language.csv:Japanese | writing.csv:Japanese | langalphMap.json:Japanese (kanji)_using_Chinese | langalphMap.json:Japanese scripts_for_12_languages | langalphMap.json:Japanese_using_Japanese scripts
2,/writing/javanese.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Javanese | writing.csv:Javanese | langalphMap.json:Javanese_for_2_languages | langalphMap.json:Javanese_using_Javanese | langalphMap.json:Javanese_using_Latin / Roman
2,/writing/khmer.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Cambodian (Khmer) | language.csv:Khmer | writing.csv:Khmer | langalphMap.json:Khmer_for_2_languages | langalphMap.json:Khmer_using_Khmer
2,/writing/konkani.htm,,"{'language.csv:language': 1, 'langalphMap.json:language': 4}",language.csv:Konkani | langalphMap.json:Konkani_using_Arabic | langalphMap.json:Konkani_using_Devanagari | langalphMap.json:Konkani_using_Kannada | langalphMap.json:Konkani_using_Malayalam
2,/writing/opcuneiform.htm,,"{'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Old Persian Cuneiform | langalphSingle.csv:Old Persian Cuneiform | langalphMap.json:Old Persian Cuneiform_using_Cuneiform scripts
2,/writing/runic.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Runic | langalphMap.json:Runic_for_1_languages | langalphMap.json:Germanic languages & Latin_using_Runic
2,/writing/tayarttamajeq.htm,,"{'language.csv:language': 1, 'langalphMap.json:language': 4}",language.csv:Tayart Tamajeq | langalphMap.json:Tayart Tamajeq_using_Arabic | langalphMap.json:Tayart Tamajeq_using_Tifinagh | langalphMap.json:Tayart Tamajeq_using_Latin / Roman | langalphMap.json:Tuareg_using_Latin / Roman
4,/writing/bassa.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Bassa | langalphSingle.csv:Bassa (Vah) | langalphMap.json:Bassa_using_Latin / Roman | langalphMap.json:Bassa_using_Latin / Roman
4,/writing/bengali.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1}",language.csv:Bengali | writing.csv:Bengali | langalphMap.json:Eastern Nagari_for_0_languages
4,/writing/greek.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1}",language.csv:Greek | writing.csv:Greek | langalphMap.json:Greek_for_0_languages
4,/writing/lao.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1}",language.csv:Lao | writing.csv:Lao | langalphMap.json:Lao_for_0_languages
4,/writing/naskapi.php,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Naskapi | langalphSingle.csv:Naskapi | langalphMap.json:Naskapi_using_Canadian Aboriginal Syllabics | langalphMap.json:Naskapi_using_Latin / Roman
4,/writing/santali.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Santali | langalphSingle.csv:Santali | langalphMap.json:Santali_using_Devanagari | langalphMap.json:Santali_using_Odia (Oriya)
4,/writing/sindhi.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Sindhi | langalphSingle.csv:Sindhi | langalphMap.json:Sindhi_using_Arabic | langalphMap.json:Sindhi_using_Devanagari
4,/writing/syriac.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1}",language.csv:Syriac | writing.csv:Syriac | langalphMap.json:Syriac_for_7_languages
5,/chinese/xiaoerjing.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Xiao'erjing | langalphMap.json:Xiao'erjing_using_Arabic
5,/writing/aljamiado.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Morisco (Aljamiado) | langalphMap.json:Morisco_using_Arabic
5,/writing/armenoturkish.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Armeno-Turkish | langalphMap.json:Armeno-Turkish_using_Armenian
5,/writing/bamum.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Bamum | langalphSingle.csv:Bamum | langalphMap.json:Bamum_using_Latin / Roman
5,/writing/bantawa.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Bantawa | langalphSingle.csv:Kirat Rai | langalphMap.json:Bantawa_using_Devanagari
5,/writing/chorasmian.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Chorasmian | langalphMap.json:Khwarezmian_using_Arabic
5,/writing/dhankari.htm,,"{'writing.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Dhankari | langalphMap.json:Simauri_using_Takri
5,/writing/gondi.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Gondi | langalphSingle.csv:Gondi | langalphMap.json:Gondi_using_Devanagari
5,/writing/tulu.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Tulu | langalphSingle.csv:Tigalari | langalphMap.json:Tulu_using_Kannada
5,/writing/vai.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Vai | langalphSingle.csv:Vai | langalphMap.json:Vai_using_Latin / Roman
6,/writing/ganda.php,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Ganda | language.csv:Luganda | langalphMap.json:Ganda_using_Latin / Roman
6,/writing/kadazandusun.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Dusun | language.csv:Kadazandusun | langalphMap.json:Kadazandusun_using_Latin / Roman
6,/writing/khoekhoe.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Khoekohoe | language.csv:Nama | langalphMap.json:Khoekohoe_using_Latin / Roman
6,/writing/loma.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Loma | langalphSingle.csv:Loma
6,/writing/manipuri.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Manipuri | langalphSingle.csv:Manipuri
6,/writing/ndebele.php,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Ndebele (Southern) | language.csv:Southern Ndebele | langalphMap.json:Ndebele (Southern)_using_Latin / Roman
6,/writing/qeqchi.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Kekchi | language.csv:Qʼeqchiʼ | langalphMap.json:Qʼeqchiʼ_using_Latin / Roman
6,/writing/redjang.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Rejang | langalphSingle.csv:Redjang
6,/writing/sundanese.php,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Sundanese | langalphSingle.csv:Sundanese
6,/writing/tailue.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Tai Lue | langalphSingle.csv:New Tai Lue
6,/writing/tainua.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Tai Nuea | langalphSingle.csv:Dehong Dai
6,/writing/wamesa.htm,,"{'language.csv:language': 2, 'langalphMap.json:language': 1}",language.csv:Wamesa | langalphMap.json:Wamesa_using_Latin / Roman | language.csv:Wandamen
